_id,OCC_DATE,OCC_MONTH,OCC_DOW,OCC_YEAR,OCC_HOUR,DIVISION,FATALITIES,INJURY_COLLISIONS,FTR_COLLISIONS,PD_COLLISIONS,HOOD_158,NEIGHBOURHOOD_158,LONG_WGS84,LAT_WGS84,AUTOMOBILE,MOTORCYCLE,PASSENGER,BICYCLE,PEDESTRIAN,geometry
628917,1693368000000,August,Wednesday,2023,18,D41,,NO,YES,NO,119,Wexford/Maryvale (119),-79.294724683269,43.76263452987807,YES,NO,NO,NO,NO,"{""coordinates"": [[321328.19740585994, 4846984.4442339605]], ""type"": ""MultiPoint""}"
730835,1739422800000,February,Thursday,2025,9,D22,,NO,YES,NO,159,Etobicoke City Centre (159),-79.52562489803059,43.64418539107968,YES,NO,NO,NO,NO,"{""coordinates"": [[302732.6884118899, 4833805.136582198]], ""type"": ""MultiPoint""}"
268793,1512277200000,December,Sunday,2017,12,D53,1.0,NO,NO,NO,098,Rosedale-Moore Park (98),-79.39072965553686,43.67988393013762,YES,NO,NO,NO,YES,"{""coordinates"": [[313610.26120868756, 4837776.532172692]], ""type"": ""MultiPoint""}"
265811,1511067600000,November,Sunday,2017,15,D11,,NO,NO,YES,171,Junction-Wallace Emerson (171),-79.44685121981315,43.66463002065643,YES,NO,NO,NO,NO,"{""coordinates"": [[309086.3710320489, 4836077.473765013]], ""type"": ""MultiPoint""}"
430143,1574830800000,November,Wednesday,2019,6,D31,,NO,NO,YES,027,York University Heights (27),-79.49104229993728,43.76349715607369,YES,NO,NO,NO,NO,"{""coordinates"": [[305521.23864912824, 4847059.838861509]], ""type"": ""MultiPoint""}"
210435,1487653200000,February,Tuesday,2017,13,D42,,NO,NO,YES,130,Milliken (130),-79.30005130662651,43.82532184601033,YES,NO,NO,NO,NO,"{""coordinates"": [[320882.49228161294, 4853947.77667565]], ""type"": ""MultiPoint""}"
422994,1572235200000,October,Monday,2019,16,D42,,NO,NO,YES,116,Steeles (116),-79.33829772537008,43.80852434418421,YES,NO,NO,NO,NO,"{""coordinates"": [[317809.8605842847, 4852074.891962917]], ""type"": ""MultiPoint""}"
210004,1487394000000,February,Saturday,2017,0,D22,1.0,NO,NO,NO,018,New Toronto (18),-79.51933987395151,43.60397029746594,YES,NO,YES,NO,NO,"{""coordinates"": [[303238.6979255556, 4829337.35187613]], ""type"": ""MultiPoint""}"
534151,1645160400000,February,Friday,2022,11,D52,1.0,YES,NO,NO,169,Bay-Cloverhill (169),-79.3858482454299,43.66081139991516,YES,NO,NO,NO,YES,"{""coordinates"": [[314006.7551208369, 4835658.204999459]], ""type"": ""MultiPoint""}"
605585,1682654400000,April,Friday,2023,14,D52,,NO,NO,YES,166,St Lawrence-East Bayfront-The Islands (166),-79.37791754527557,43.64317288227655,YES,NO,NO,NO,NO,"{""coordinates"": [[314649.27712407155, 4833699.575661287]], ""type"": ""MultiPoint""}"
634280,1695787200000,September,Wednesday,2023,10,D42,,YES,NO,NO,145,Malvern West (145),-79.24096626836477,43.79858359707118,YES,NO,NO,NO,NO,"{""coordinates"": [[325644.1835437305, 4850990.404985669]], ""type"": ""MultiPoint""}"
507392,1630296000000,August,Monday,2021,22,D11,1.0,NO,NO,NO,088,High Park North (88),-79.45425941524566,43.65594411233722,YES,YES,NO,NO,NO,"{""coordinates"": [[308489.44281500875, 4835112.161044396]], ""type"": ""MultiPoint""}"
594711,1677301200000,February,Saturday,2023,16,D14,,NO,NO,YES,165,Harbourfront-CityPlace (165),-79.3983326338877,43.63570097480471,YES,NO,NO,NO,NO,"{""coordinates"": [[313003.2602223631, 4832867.271304434]], ""type"": ""MultiPoint""}"
257665,1508040000000,October,Sunday,2017,13,NSA,,NO,NO,YES,NSA,NSA,0.0,0.0,YES,NO,NO,NO,NO,"{""coordinates"": [[15861840.491636503, 3.481022266728996e-08]], ""type"": ""MultiPoint""}"
728097,1738126800000,January,Wednesday,2025,7,D23,,NO,NO,YES,006,Kingsview Village-The Westway (6),-79.5586388586282,43.6942459837147,YES,NO,NO,NO,NO,"{""coordinates"": [[300073.18769479106, 4839367.953755321]], ""type"": ""MultiPoint""}"
517451,1635998400000,November,Thursday,2021,10,NSA,,NO,NO,YES,NSA,NSA,0.0,0.0,YES,NO,NO,NO,NO,"{""coordinates"": [[15861840.491636503, 3.481022266728996e-08]], ""type"": ""MultiPoint""}"
